Age;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG
27-225;1.0;0;2;1;50.0;2.00;1.00;0.00;0.00;28.9;1;0;0;0.1;0.1;0.03;-0.1;-0.1
28-115;1.0;0;2;0;0.0;2.00;0.00;0.00;;23.7;0;0;0;0.0;0.0;0.02;0.0;0.0
23-359;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
31-324;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
29-016;1.0;0;1;0;0.0;1.00;0.00;0.00;;6.0;0;0;0;0.1;0.1;0.13;-0.1;-0.1
30-245;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
21-236;1.0;1;2;2;100.0;2.00;2.00;0.50;0.50;22.1;0;0;0;0.1;0.1;0.06;+0.9;+0.9
23-237;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
38-204;0.9;1;1;1;100.0;1.14;1.14;1.00;1.00;5.0;0;0;0;0.3;0.3;0.30;+0.7;+0.7
32-105;0.7;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
34-005;0.7;1;5;0;0.0;6.92;0.00;0.00;;25.5;1;1;1;1.1;0.3;0.06;-0.1;-0.3
20-070;0.3;0;1;0;0.0;3.60;0.00;0.00;;16.7;0;0;0;0.0;0.0;0.04;0.0;0.0
24-061;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
30-145;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0
