Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls_1;Ast_2;G+A_3;G-PK_4;G+A-PK;xG_5;xAG_6;xG+xAG;npxG_7;npxG+xAG_8
Kellyn Acosta;us USA;MF;27-225;1;1;90;1.0;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;3;3;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07
Denis Bouanga;ga GAB;FW;28-115;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.1;4;3;11;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.07;0.05;0.07
José Cifuentes;ec ECU;MF;23-359;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;7;4;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02
Ryan Hollingshead;us USA;DF;31-324;1;1;90;1.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;1;3;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Jesús David Murillo Largacha;co COL;DF;29-016;1;1;90;1.0;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;1;0;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.13;0.13;0.13
John McCarthy;us USA;GK;30-245;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Kwadwo Opoku;gh GHA;FW;21-236;1;1;90;1.0;1;0;1;1;0;0;0;0;0.1;0.1;0.2;0.3;2;3;4;1.00;0.00;1.00;1.00;1.00;0.13;0.17;0.30;0.13;0.30
Diego Palacios;ec ECU;DF;23-237;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;3;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Giorgio Chiellini;it ITA;DF;38-204;1;1;79;0.9;1;0;1;1;0;0;0;0;0.3;0.3;0.0;0.3;0;7;0;1.14;0.00;1.14;1.14;1.14;0.35;0.03;0.38;0.35;0.38
Ilie Sánchez;es ESP;MF;32-105;1;1;65;0.7;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Carlos Vela;mx MEX;FW;34-005;1;1;65;0.7;1;1;2;0;1;1;0;0;1.1;0.3;0.1;0.4;2;6;8;1.38;1.38;2.77;0.00;1.38;1.49;0.18;1.66;0.40;0.57
Stipe Biuk;hr CRO;FW;20-070;1;0;25;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;6;0;5;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.15;0.15;0.15
Timothy Tillman;de GER;MF;24-061;1;0;25;0.3;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;1;3;1;0.00;0.00;0.00;0.00;0.00;0.00;0.23;0.23;0.00;0.23
Aaron Long;us USA;DF;30-145;1;0;11;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Erik Duenas;us USA;DF;18-139;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eldin Jakupović;ch SUI;GK;38-155;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denil Maldonado;hn HON;DF;24-284;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nathan Ordaz;us USA;FW;19-053;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergi Palencia;es ESP;DFMF;26-348;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Christian Torres;mx MEX;FW;18-325;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
